timestamp,detected_fruit,confidence_score
1783525519.606292,Apples,1.0
1783525519.613738,Bananas,1.0
1783525519.622286,Bananas,1.0
1783525519.630259,Bananas,1.0
1783525519.637013,Oranges,0.9999
1783525519.646091,Oranges,1.0
1783525519.651691,Oranges,0.9991
